Amp-Op (definição);Amplificador diferencial com ganho de malha aberta \(\approx\) infinito. \(V_{out} = A(V^+ - V^-)\)
Regra de ouro 1 (com realimentação negativa);\(V^+ = V^-\) (tensão nas entradas é igual)
Regra de ouro 2 (com realimentação negativa);\(I^+ = I^- = 0\) (corrente nas entradas é zero)
As regras de ouro só valem com...;Realimentação negativa (saída \(\to V^-\)). Com realimentação positiva, amp-op vira oscilador ou comparador
Buffer (seguidor de tensão);Saída conectada a \(V^-\). Ganho = 1, \(Z_{out} \approx 0\)
\(A_V\) do amplificador inversor;\(-R_F / R_1\)
\(A_V\) do amplificador não-inversor;\(1 + R_F / R_1\)
\(V_{out}\) do somador inversor;\(-(R_F/R_1 \cdot V_1 + R_F/R_2 \cdot V_2)\)
\(V_{out}\) do diferencial (subtrator);\((V_2 - V_1) \times R_F / R_1\) (quando \(R_F/R_1 = R_2'/R_2\))
LM741;Amp-op vintage (lento, baixo CMRR — para aprender)
TL072;Amp-op para áudio (baixo ruído, JFET input)
Vantagem do filtro ativo sobre passivo;Ganho \(\geq 1\), \(Z_{out}\) baixa, cascateável sem perda
Sallen-Key;Topologia popular para filtros ativos de 2ª ordem
Roll-off de filtro ativo de 2ª ordem;\(-40\) dB/dec (vs \(-20\) dB/dec do passivo 1ª ordem)
\(V_{out}\) do integrador com amp-op;\(-(1/RC) \int V_{in} \, dt\) — acumula sinal no tempo
\(V_{out}\) do diferenciador com amp-op;\(-RC \cdot dV_{in}/dt\) — detecta mudanças rápidas
INA (Amplificador de instrumentação);3 amp-ops que amplificam diferença entre 2 sinais, rejeitando ruído comum (alto CMRR)
CMRR (Common Mode Rejection Ratio);Quanto ruído comum é rejeitado pelo amplificador diferencial
Critério de Barkhausen (oscilação);Ganho de malha = 1 e fase de malha = 0° (ou 360°)
Oscilador Wien Bridge;Gera senóide pura. \(f = 1/(2\pi RC)\)
Oscilador Colpitts/Hartley;Usa LC, para frequências mais altas (RF)
Astável com amp-op;Gera onda quadrada (comparador + RC + realimentação positiva)
Senóide \(\to\) quadrada;Passar por comparador (amp-op sem realimentação)
Quadrada \(\to\) triangular;Passar por integrador (amp-op + capacitor)
LM317 (regulador linear ajustável);\(V_{out} = 1.25 \times (1 + R_2/R_1)\). Dropout \(\approx 2\) V
Regulador linear (princípio);Dissipa excesso de tensão como calor: \(P = (V_{in} - V_{out}) \times I\)
Eficiência do regulador linear;\(\eta = V_{out} / V_{in}\)
Regulador linear: vantagem;Sem ruído de chaveamento (bom para áudio e instrumentação)
7805;Regulador linear fixo 5 V (TO-220, dropout \(\approx 2\) V)
Regulador chaveado (princípio);Liga/desliga em alta frequência (100 kHz-2 MHz) + filtro LC \(\to \eta = 85{-}95\%\)
Regulador chaveado: vantagens sobre linear;Pode subir tensão (boost), inverter polaridade, eficiência muito maior
Regulador chaveado: desvantagem;Gera ruído EMI (harmônicos do chaveamento)
Buck (Step-Down) — fórmula;\(V_{out} = D \times V_{in}\). DC-DC que abaixa tensão
Buck — componentes;MOSFET (chave) + diodo (freewheeling) + indutor (armazenamento) + capacitor (filtro)
CCM (Continuous Conduction Mode);Corrente no indutor nunca chega a zero — modo preferível de operação
LM2596;Buck regulador clássico (3 A, 150 kHz, ajustável)
Boost (Step-Up) — fórmula;\(V_{out} = V_{in} / (1 - D)\). DC-DC que sobe tensão
Boost — princípio;MOSFET ON: indutor carrega. MOSFET OFF: indutor "empurra" corrente em tensão mais alta
Buck-Boost — fórmula;\(V_{out} = -V_{in} \times D / (1 - D)\). Pode subir ou descer, saída invertida
Buck-Boost — uso típico;Quando \(V_{in}\) pode ser maior ou menor que \(V_{out}\) (ex: bateria descarregando)
Inversor DC\(\to\)AC;Converte DC em AC usando H-bridge + PWM
SPWM (Sinusoidal PWM);PWM cuja largura varia senoidalmente \(\to\) filtro LC \(\to\) senóide limpa
Flyback (fonte chaveada isolada);Usa transformador de alta frequência para isolação galvânica. Aplicação: carregadores \(< 100\) W
Forward (fonte chaveada isolada);Média potência (100-500 W). Transfere energia durante o pulso ON
Full-bridge (fonte chaveada);Alta potência (\(> 500\) W). Fontes industriais, inversores solares
GBW (Gain-Bandwidth Product);Ganho \(\times\) largura de banda = constante. Se \(A_V = 10\) e GBW = 1 MHz → BW = 100 kHz
Slew Rate (taxa de variação);Máxima variação de \(V_{out}\) por tempo (V/\(\mu\)s). Se excedido, saída distorce em sinais rápidos
\(V_{OS}\) (Tensão de offset);Diferença de tensão nas entradas quando \(V_{out} = 0\). Causa erro DC — crítico em instrumentação
\(I_{BIAS}\) (Corrente de polarização);Corrente DC que flui pelas entradas do amp-op. JFET input (TL072): pA. BJT input (LM741): nA
Comparador com histerese (Schmitt Trigger);Realimentação positiva via divisor resistivo → dois limiares (\(V_{TH}\), \(V_{TL}\)) → elimina oscilação por ruído
Filtro passivo RC passa-baixa: \(f_c\);\(f_c = 1/(2\pi RC)\). Atenuação: \(-20\) dB/dec acima de \(f_c\)
Filtro passivo RC passa-alta: \(f_c\);\(f_c = 1/(2\pi RC)\). Atenuação: \(-20\) dB/dec abaixo de \(f_c\)
Filtro passivo RLC passa-faixa: \(f_0\);\(f_0 = 1/(2\pi\sqrt{LC})\). Largura de faixa = \(f_0/Q\)
\(Q\) (Fator de qualidade de filtro);Seletividade: \(Q\) alto → banda estreita. \(Q = f_0 / BW\)
DCM (Discontinuous Conduction Mode);Corrente no indutor chega a zero a cada ciclo — tensão de saída depende da carga. Evitar em projetos críticos
Eficiência do Buck: perdas principais;Resistência \(R_{DS(on)}\) do MOSFET + perdas de chaveamento + resistência DC do indutor + queda no diodo
Snubber (proteção em fontes chaveadas);RC em paralelo com chave — absorve spike de tensão durante desligamento
Inversor: \(R_1 = 10\) k\(\Omega\), \(R_F = 100\) k\(\Omega\) → \(A_V\)?;\(-10\) (\(-R_F/R_1\))
Buck: \(V_{in} = 12\) V, \(D = 0.5\) → \(V_{out}\)?;\(6\) V (\(D \times V_{in}\))
