BJT (Bipolar Junction Transistor) — 3 terminais;Base (B), Coletor (C), Emissor (E)
NPN (fluxo de corrente);Corrente entra pela Base, sai pelo Emissor
\(V_{BE}\) quando conduzindo;\(\approx 0.7\) V (junção B-E = diodo)
\(\beta\) (hFE) — ganho de corrente DC;\(I_C = \beta \times I_B\). Típico: 100-300
Saturação do BJT (chave LIGADA);\(I_B > I_C/\beta \to V_{CE} \approx 0.2\) V
Corte do BJT (chave DESLIGADA);\(V_{BE} < 0.7\) V \(\to I_C = 0\)
Cálculo de \(R_B\) para saturação;\(R_B = (V_{in} - 0.7) / I_B\), com \(I_B = I_C / \beta_{min} \times\) fator de segurança (2-5)
Por que usar \(\beta_{min}\) e não \(\beta_{tipico}\)?;\(\beta\) varia muito entre transistores do mesmo lote — forçar saturação garante funcionamento com qualquer unidade
Carga indutiva no coletor (motor, relé);Diodo flyback em antiparalelo obrigatório
BJT chave clássico;2N2222 (NPN, até 800 mA)
Região ativa do BJT;\(V_{BE} \approx 0.7\) V e \(V_{CE} > V_{CE,sat} \to I_C = \beta \times I_B\) (linear)
Q-point (ponto de operação DC);Polarização que coloca o transistor no meio da região ativa — permite amplificação linear
Polarização mais estável para BJT;Divisor de tensão na base
Capacitores de acoplamento (função);Bloqueiam DC e passam AC — isolam estágios de amplificação
\(A_V\) (Ganho de tensão, emissor comum);\(-g_m \times R_C = -(I_C/V_T) \times R_C\). Sinal negativo = inversão de fase
\(g_m\) (Transcondutância do BJT);\(I_C / V_T\), onde \(V_T \approx 26\) mV
\(r_\pi\) (Resistência de entrada do BJT);\(\beta / g_m = V_T / I_B\)
\(R_E\) sem bypass: efeito no ganho;\(A_V \approx -R_C / R_E\) — ganho menor, mas estável e independente de \(\beta\)
\(C_E\) (Capacitor de bypass no emissor);Curto-circuita \(R_E\) em AC \(\to\) restaura ganho alto (\(-g_m R_C\))
Por que MOSFET domina circuitos digitais e de potência?;Gate isolado = corrente de gate zero em DC — manter ligado não consome energia
MOSFET — 3 terminais;Gate (G), Drain (D), Source (S)
N-channel enhancement MOSFET: condição para ligar;\(V_{GS} > V_{th}\) (threshold, típico 1.5-4 V)
\(R_{DS(on)}\);Resistência drain-source quando ligado (1 m\(\Omega\) a 1 \(\Omega\)). Menor = mais eficiente
BJT é controlado por ___, MOSFET por ___;BJT: corrente (\(I_B\)). MOSFET: tensão (\(V_{GS}\))
H-Bridge;4 MOSFETs para controlar motor DC em 2 direções. Ativando diagonais opostas inverte corrente na carga
Dead-time na H-Bridge;Tempo morto entre chaves para evitar shoot-through (curto \(V_{CC} \to\) GND)
MOSFET logic-level clássico;IRLZ44N (\(V_{th}\) baixo, liga com 3.3 V/5 V direto do GPIO)
MOSFET potência clássico;IRF540N (precisa de driver, \(V_{th} \approx 2{-}4\) V)
Darlington (topologia);2 BJTs em cascata \(\to \beta_{total} = \beta_1 \times \beta_2\). \(V_{CE,sat} \approx 1.4\) V
Push-Pull classe B/AB;NPN + PNP \(\to\) saída pode fornecer (source) e absorver (sink) corrente
Crossover distortion no Push-Pull;Distorção na passagem por 0 V (zona morta de \(\pm 0.7\) V). Classe AB corrige com polarização por diodos
Classe A (eficiência);\(\approx 25\%\) — sempre conduzindo, sem distorção
Classe B (eficiência);\(\approx 78.5\%\) — cada transistor conduz metade do ciclo
Classe AB (eficiência);\(\approx 50{-}70\%\) — compromisso entre distorção e eficiência
Classe D (eficiência);\(> 90\%\) — chaveamento PWM com filtro na saída
PNP (fluxo de corrente);Corrente entra pelo Emissor, sai pela Base. Espelho do NPN — usado em Push-Pull e fontes de corrente
Thermal runaway (BJT);Mais corrente → mais calor → mais corrente (ciclo positivo). Prevenção: resistor de emissor \(R_E\)
MOSFET body diode;Diodo intrínseco entre Source e Drain — conduz na direção reversa. Relevante em H-Bridge
Gate driver (função);Fornece corrente para carregar/descarregar capacitância do gate rapidamente. Essencial em potência
Emissor comum vs Base comum vs Coletor comum;EC: alto ganho de tensão. BC: alta frequência, baixa impedância de entrada. CC (seguidor): ganho \(\approx 1\), buffer
JFET (Junction FET);Canal condutor controlado por junção PN reversa no gate. Normalmente ligado (\(V_{GS} = 0\) → conduz)
\(I_{DSS}\) (Corrente de dreno com \(V_{GS}=0\) no JFET);Corrente máxima do JFET quando gate não é polarizado
\(V_P\) (Pinch-off voltage do JFET);Tensão \(V_{GS}\) que corta completamente o canal. \(I_D = I_{DSS}(1 - V_{GS}/V_P)^2\)
\(I_C = 2\) mA → \(g_m\)?;\(\approx 77\) mA/V (\(I_C/V_T = 2/0.026\))
\(g_m = 40\) mA/V, \(R_C = 2\) k\(\Omega\) → \(A_V\) emissor comum?;\(-80\) (\(-g_m \times R_C\))
Motor DC 12V/5A controlado por GPIO 3.3V → BJT ou MOSFET?;MOSFET logic-level (IRLZ44N): gate por tensão, sem corrente contínua de base
Armadilha: \(\beta = 200\), então \(I_C = 200 I_B\) com precisão?;Não: \(\beta\) varia 100–300 entre unidades. Projetar para \(\beta_{min}\) com fator de segurança
Armadilha: MOSFET precisa de corrente contínua no gate para manter ligação?;Não: gate isolado (\(I_G = 0\) em DC). Só corrente transitória para carregar \(C_{GS}\)
