\(v \ (\text{Fórmula Básica de Velocidade Média})\);\(\frac{\Delta x}{\Delta t}\)
\(a \ (\text{Fórmula Básica de Aceleração Média})\);\(\frac{\Delta v}{\Delta t}\)
\(\Delta x \ (\text{Equação Horária da Posição - Aceleração Uniforme})\);\(v_it + \frac{1}{2}at^2\)
\(v_f^2 \ (\text{Equação de Torricelli - Aceleração Uniforme})\);\(v_i^2 + 2a\Delta x\)
\(v_f \ (\text{Equação Horária da Velocidade - Aceleração Uniforme})\);\(v_i + at\)
\(\Sigma F = 0 \implies v \ (\text{1ª Lei de Newton - Inércia})\);\(\text{Constante}\)
\(\Sigma F \ (\text{2ª Lei de Newton - Princípio Fundamental})\);\(ma\)
\(F_{1 \to 2} \ (\text{3ª Lei de Newton - Ação e Reação})\);\(-F_{2 \to 1}\)
\(F_g \ (\text{Lei da Gravitação Universal de Newton})\);\(G\frac{m_1m_2}{r^2}\)
\(W \ (\text{Força Peso})\);\(mg\)
\(F_{f(\max)} \ (\text{Força de Atrito Estático Máximo})\);\(\mu_s F_N\)
\(F_f \ (\text{Força de Atrito Cinético})\);\(\mu_k F_N\)
\(W \ (\text{Trabalho Mecânico})\);\((F\cos\theta)d\)
\(E \ (\text{Energia Mecânica Total})\);\(KE + U\)
\(\text{Princípio de Conservação de Energia Mecânica}\);\(KE_i + U_i = KE_f + U_f\)
\(KE \ (\text{Fórmula da Energia Cinética Translacional})\);\(\frac{1}{2}mv^2\)
\(U_{gravitacional} \ (\text{Fórmula da Energia Potencial Gravitacional})\);\(mgy\)
\(U_{elastico} \ (\text{Fórmula da Energia Potencial Elástica})\);\(\frac{1}{2}kx^2\)
\(W_{NC} \ (\text{Trabalho Realizado por Forças Não Conservativas - Ex: Atrito})\);\(\Delta E\)
\(W_{net} \ (\text{Teorema do Trabalho-Energia})\);\(\Delta KE\)
\(F \ (\text{Lei de Hooke para Molas})\);\(-kx\)
\(P \ (\text{Potência Mecânica Média})\);\(\frac{W}{\Delta t} = Fv\)
\(p \ (\text{Momento Linear / Quantidade de Movimento})\);\(mv\)
\(F\Delta t \ (\text{Teorema do Impulso})\);\(\Delta p\)
\(\text{Colisão Elástica} \implies \dots \ (\text{Conservação de Quantidades})\);\(p_i = p_f \land KE_i = KE_f\)
\(\text{Colisão Totalmente Inelástica} \implies \dots \ (\text{Conservação de Quantidades})\);\(p_i = p_f \land KE_i > KE_f\)
\(a_c \ (\text{Aceleração Centrípeta em Movimento Circular})\);\(\frac{v^2}{r}\)
\(F_c \ (\text{Força Centrípeta})\);\(\frac{mv^2}{r}\)
\(\tau \ (\text{Torque ou Momento de uma Força})\);\(F_\perp r = (F\sin\theta)r\)
\(I \ (\text{Momento de Inércia Teórico})\);\(\Sigma mr^2\)
\(x_{CG} \ (\text{Fórmula do Centro de Gravidade / Centro de Massa 1D})\);\(\frac{\Sigma m_ix_i}{\Sigma m_i}\)
\(\text{Condições de Equilíbrio Estático de um Corpo Rígido}\);\(\Sigma F = 0 \land \Sigma \tau = 0\)
\(\Delta x \ (\text{Relação Linear-Angular de Deslocamento})\);\(r\Delta\theta\)
\(v \ (\text{Relação Linear-Angular de Velocidade})\);\(r\omega\)
\(a \ (\text{Relação Linear-Angular de Aceleração Tangencial})\);\(r\alpha\)
\(\Delta\theta \ (\text{Equação Horária da Posição Angular - Aceleração Uniforme})\);\(\omega_it + \frac{1}{2}\alpha t^2\)
\(\omega_f^2 \ (\text{Equação de Torricelli Angular})\);\(\omega_i^2 + 2\alpha\Delta\theta\)
\(\omega_f \ (\text{Equação Horária da Velocidade Angular - Aceleração Uniforme})\);\(\omega_i + \alpha t\)
\(\Sigma\tau \ (\text{2ª Lei de Newton para Dinâmica Rotacional})\);\(I\alpha\)
\(KE_{rot} \ (\text{Fórmula da Energia Cinética Rotacional})\);\(\frac{1}{2}I\omega^2\)
\(W_{rot} \ (\text{Trabalho Mecânico Rotacional})\);\(\tau(\Delta\theta)\)
\(L \ (\text{Momento Angular Convencional})\);\(I\omega\)
\(\frac{F}{A} \ (\text{Módulo de Young - Elasticidade: Tensão/Compressão Longitudinal})\);\(Y\frac{\Delta L}{L_0}\)
\(\frac{F}{A} \ (\text{Módulo de Cisalhamento - Elasticidade: Deformação Transversal})\);\(S\frac{\Delta x}{h}\)
\(\Delta P \ (\text{Módulo Bulk/Volumétrico - Elasticidade: Deformação por Pressão})\);\(-B\frac{\Delta V}{V}\)
Conversão RPM → velocidade angular \(\omega\);\(\omega = \text{RPM} \times \frac{2\pi}{60} \text{ (rad/s)}\)
Equação de potência mecânica rotativa;\(P = \tau \cdot \omega \text{ (Potência = Torque × Velocidade Angular)}\)
Energia cinética armazenada em um volante de inércia (flywheel);\(E = \frac{1}{2}I\omega^2 \text{ (análogo a } \frac{1}{2}LI^2 \text{ no indutor)}\)
Para que servem volantes de inércia em motores e geradores?;\(\text{Suavizar variações de velocidade (ripple mecânico), armazenando e liberando energia rotacional.}\)
