\(\mathbf{u} \cdot \mathbf{v} \ (\text{Produto Escalar})\);\(u_1v_1 + u_2v_2 + \dots + u_nv_n\)
\(\mathbf{u} \cdot \mathbf{v} \ (\text{Ângulo entre Vetores})\);\(||\mathbf{u}|| ||\mathbf{v}|| \cos(\theta)\)
\(\mathbf{u} \perp \mathbf{v} \iff \dots \ (\text{Condição de Ortogonalidade})\);\(\mathbf{u} \cdot \mathbf{v} = 0\)
\(S \text{ é conjunto ortonormal } \iff \dots\);\(\mathbf{v}_i \cdot \mathbf{v}_j = 0 \ (i \neq j) \land ||\mathbf{v}_i|| = 1\)
\(|\mathbf{u} \cdot \mathbf{v}| \ (\text{Desigualdade de Cauchy-Schwarz})\);\(\le ||\mathbf{u}|| ||\mathbf{v}||\)
\(||\mathbf{u} + \mathbf{v}|| \ (\text{Desigualdade Triangular})\);\(\le ||\mathbf{u}|| + ||\mathbf{v}||\)
\(d(\mathbf{u}, \mathbf{v}) \ (\text{Distância Vetorial})\);\(||\mathbf{u} - \mathbf{v}||\)
\(\mathbf{u} \ (\text{Vetor Unitário na Direção de } \mathbf{v})\);\(\frac{1}{||\mathbf{v}||}\mathbf{v}\)
\((A+B)_{ij} \ (\text{Soma de Matrizes})\);\(A_{ij} + B_{ij}\)
\((A^T)_{ij} \ (\text{Transposta de Matriz})\);\(A_{ji}\)
\(\text{tr}(A) \ (\text{Traço da Matriz})\);\(a_{11} + a_{22} + \dots + a_{nn}\)
\(\text{tr}(A^T) \ (\text{Traço da Matriz Transposta})\);\(\text{tr}(A)\)
\(\text{tr}(AB) \ (\text{Comutatividade do Traço})\);\(\text{tr}(BA)\)
\(\mathbf{u}^T \mathbf{v} \ (\text{Produto Interno em Matrizes})\);\(\text{tr}(\mathbf{u}\mathbf{v}^T)\)
\(\mathbf{u}\mathbf{v}^T \ (\text{Matrizes de Tamanhos Iguais})\);\(\text{Produto Externo (Gera Matriz)}\)
\((A^T)^T \ (\text{Dupla Transposição})\);\(A\)
\((kA)^T \ (\text{Transposta de Matriz por Escalar})\);\(kA^T\)
\((A+B)^T \ (\text{Transposta da Soma})\);\(A^T + B^T\)
\((AB)^T \ (\text{Transposta do Produto})\);\(B^T A^T\)
\((AB)^{-1} \ (\text{Inversa do Produto})\);\(B^{-1} A^{-1}\)
\((A^n)^{-1} \ (\text{Inversa da Potência})\);\((A^{-1})^n\)
\((A^T)^{-1} \ (\text{Inversa da Transposta})\);\((A^{-1})^T\)
\((kA)^{-1} \ (\text{Inversa de Matriz por Escalar})\);\(\frac{1}{k}A^{-1}\)
\(A\mathbf{x} = \mathbf{b} \text{ Consistente} \iff \mathbf{b} \dots \ (\text{Solução de Sistema Linear})\);\(\in \text{col}(A) \ (\text{Combinação linear das colunas})\)
\(\mathbf{x}_p \ (\text{Sol. Particular}) \land \mathbf{x}_h \ (\text{Sol. Homogênea}) \implies \mathbf{x}_{geral} = \dots \ (\text{Solução Geral de Sistema Linear})\);\(\mathbf{x}_p + \mathbf{x}_h\)
