\(G(s)\) (Função de Transferência);\(Y(s) / X(s)\) — saída sobre entrada em Laplace, com condições iniciais zero
Polos de \(G(s)\);Raízes do denominador. Determinam estabilidade e forma da resposta
Zeros de \(G(s)\);Raízes do numerador. Influenciam amplitude e fase
O que realimentação negativa \(G/(1+GH)\) faz?;Troca ganho por estabilidade e precisão — o sistema se corrige comparando saída com referência
Por que \(\zeta = 0.707\) é o "número mágico" de controle?;Melhor compromisso entre velocidade e overshoot — rápido sem oscilar demais (~5% overshoot)
\(G(s)\) de sistema de 1ª ordem;\(K / (\tau s + 1)\), onde \(\tau\) = constante de tempo e \(K\) = ganho estático
\(G(s)\) de sistema de 2ª ordem;\(K\omega_n^2 / (s^2 + 2\zeta\omega_n s + \omega_n^2)\)
\(\zeta\) (Fator de amortecimento);Determina o tipo de resposta: \(\zeta < 1\) subamortecido, \(\zeta = 1\) crítico, \(\zeta > 1\) superamortecido
\(\omega_n\) (Frequência natural);Frequência de oscilação livre do sistema sem amortecimento
Blocos em série (álgebra de blocos);Multiplicação: \(G_1 \times G_2\)
Blocos em paralelo (álgebra de blocos);Soma: \(G_1 + G_2\)
Realimentação negativa (álgebra de blocos);\(G / (1 + GH)\)
Por que circuito RC, forno e tanque obedecem mesma equação?;Todos são sistemas de 1ª ordem: algo se acumula contra uma resistência — mesma matemática, variáveis diferentes
Analogia elétrica ↔ mecânica: Tensão e Corrente;Tensão \(\leftrightarrow\) Força, Corrente \(\leftrightarrow\) Velocidade
Analogia elétrica ↔ térmica: R e C;R elétrica \(\leftrightarrow R_{th}\), C elétrica \(\leftrightarrow MC_p\) (massa × calor específico)
Modelo do sistema térmico (forno);\(G(s) = K / (\tau s + 1)\) com \(\tau = MC_p \times R_{th}\)
Modelo do tanque de nível;\(G(s) = 1/(As)\) — integrador puro (A = área da seção)
Estabilidade BIBO (definição);Todos os polos de malha fechada no semiplano esquerdo (\(\text{Re} < 0\))
Polo com \(\text{Re} > 0\);Sistema instável — exponencial crescente (algo explode)
Polo com \(\text{Re} = 0\);Marginalmente estável — oscilação constante (nem cresce nem decresce)
Critério de Routh-Hurwitz (o que responde);Se o sistema é estável e quantos polos estão no semiplano direito, sem calcular os polos
Routh-Hurwitz: condição necessária;Todos os coeficientes do polinômio característico devem ser positivos e presentes
Tabela de Routh: critério de estabilidade;Primeira coluna toda positiva \(\Rightarrow\) estável. Número de trocas de sinal = número de polos no semiplano direito
\(K_u\) (Ganho crítico);Ganho que torna o sistema marginalmente estável (polos tocam eixo \(j\omega\))
Diagrama de Bode (o que mostra);2 gráficos: \(|G(j\omega)|\) em dB vs \(\log(\omega)\) + \(\angle G(j\omega)\) em graus vs \(\log(\omega)\)
O que Bode mostra que a resposta ao degrau não mostra?;Como o sistema responde a cada frequência individualmente — raio-X completo em frequência
Polo em \(s = -a\) no Bode;Queda de \(-20\) dB/dec a partir de \(\omega = a\)
Zero em \(s = -a\) no Bode;Subida de \(+20\) dB/dec a partir de \(\omega = a\)
Polo na origem \((1/s)\) no Bode;\(-20\) dB/dec em toda a faixa + fase fixa de \(-90°\)
Margem de Ganho (GM);Quanto ganho pode ser adicionado antes da instabilidade. Medida na frequência onde fase \(= -180°\)
Margem de Fase (PM);Quantos graus restam antes de \(-180°\). Medida na frequência onde \(|G| = 0\) dB
Critério de estabilidade via Bode;GM \(> 0\) dB E PM \(> 0°\) \(\Rightarrow\) estável em malha fechada
PM \(> 60°\);Resposta ótima (pouco overshoot)
PM \(< 30°\);Perigoso (muito oscilatório, próximo da instabilidade)
\(u(t)\) (Equação PID no tempo);\(u(t) = K_p e(t) + K_i \int e(t)\,dt + K_d \frac{de(t)}{dt}\)
\(G_{PID}(s)\) (PID em Laplace);\(K_p + K_i/s + K_d s\)
Ação Proporcional (P) no PID;Reação proporcional ao erro atual. Mais \(K_p\) = mais rápido, mais overshoot. Sozinha, não zera erro de regime
Ação Integral (I) no PID;Acumula erro passado \(\Rightarrow\) elimina erro em regime permanente. Mais \(K_i\) = pode oscilar
Ação Derivativa (D) no PID;Reage à taxa de mudança do erro (antecipa). Amortece oscilações, mas amplifica ruído
Por que PI basta em 90% dos casos industriais?;I elimina erro permanente e D amplifica ruído de alta frequência — D pode piorar o sistema
Ziegler-Nichols: \(K_p\);\(0.6 K_u\)
Ziegler-Nichols: \(K_i\);\(2K_p / T_u\)
Ziegler-Nichols: \(K_d\);\(K_p T_u / 8\)
Anti-windup (o que previne);Impede o integrador de acumular erro enquanto o atuador está saturado, evitando overshoot enorme na dessaturação
Compensador Lead (avanço de fase);Adiciona fase positiva \(\Rightarrow\) melhora PM e velocidade. Equivalente ao D do PID
Compensador Lag (atraso de fase);Adiciona ganho em baixa frequência \(\Rightarrow\) reduz erro em regime permanente. Equivalente ao I do PID
Lead-Lag;Combina ambos. Equivale ao PID no domínio da frequência
Lead: forma \(G_c(s) = K(s+z)/(s+p)\);\(z < p\) (zero antes do polo \(\Rightarrow\) avanço de fase)
Lag: forma \(G_c(s) = K(s+z)/(s+p)\);\(z > p\) (polo antes do zero \(\Rightarrow\) atraso de fase)
Fase máxima do compensador Lead;\(\phi_{max} = \sin^{-1}\left(\frac{p-z}{p+z}\right)\)
PM \(\rightarrow\) Overshoot;PM\(\uparrow\) = overshoot\(\downarrow\)
Bandwidth \(\rightarrow\) Velocidade;BW\(\uparrow\) = resposta mais rápida
