Arduino Uno — MCU;ATmega328P, 16 MHz, 14 I/O digitais (6 PWM), 6 analógicas, 32 KB Flash, 2 KB SRAM
Corrente máxima por pino GPIO;40 mA (recomendável 20 mA). Acima disso, usar MOSFET
Pino flutuante (sem pull-up/down);Capta ruído e lê valores aleatórios — usar INPUT_PULLUP ou resistor externo
INPUT_PULLUP;Ativa resistor interno de \(\approx 20{-}50\) k\(\Omega\) entre pino e VCC
Bounce de botão;1 pressionamento gera 10-50 pulsos em \(\approx 5\) ms. Solução: debounce (RC ou software)
ADC do Arduino;10 bits de resolução (0-1023). Conversão: \(V = valor \times 5.0/1023\)
LM35 (sensor de temperatura);10 mV/°C (250 mV = 25°C)
LDR (Light Dependent Resistor);Varia resistência com luz \(\to\) usar divisor resistivo com ADC
NTC (Negative Temperature Coefficient);Resistência diminui com temperatura
analogWrite (PWM no Arduino);0-255 (\(0{-}100\%\) duty cycle). Frequência: \(\approx 490\) Hz (pinos 3,9,10,11) ou \(\approx 980\) Hz (pinos 5,6)
Motor DC + PWM;Usar MOSFET no gate (nunca direto no pino GPIO!)
Servo motor (controle);Pulso de 1-2 ms a cada 20 ms. 1 ms=0°, 1.5 ms=90°, 2 ms=180°
H-Bridge (L298N/L293D);Controla direção + velocidade de motor DC (enable = PWM)
millis() vs delay();millis() retorna ms desde boot (não bloqueante). delay() bloqueia toda execução
Interrupção (conceito);Evento externo pausa o programa \(\to\) executa ISR \(\to\) retorna. Pinos 2 e 3 no Uno
ISR (Interrupt Service Routine);Deve ser curta (setar flag, não processar). Variáveis compartilhadas devem ser volatile
UART;Serial assíncrona (TX/RX), ponto-a-ponto. Mais simples dos protocolos
I2C;2 fios (SDA + SCL), barramento endereçado, até 127 dispositivos
SPI;4 fios (MOSI, MISO, SCK, SS). Mais rápido que I2C (\(\approx 10\) MHz+)
Comparação: mais rápido dos 3 protocolos;SPI
Comparação: menos fios;I2C (apenas 2)
ESP32;MCU com WiFi + Bluetooth integrado, dual-core, muito mais capaz que Arduino Uno
MQTT;Protocolo publish/subscribe leve para IoT (mais eficiente que HTTP para dispositivos com pouca RAM)
BLE (Bluetooth Low Energy);Ultra-baixo consumo, ideal para sensores e wearables
Deep sleep do ESP32;Consome \(\approx 10\) \(\mu\)A (desliga WiFi/CPU, mantém RTC). Acorda via timer, pino ou sinal externo
FreeRTOS no ESP32;RTOS integrado — permite criar tasks paralelas (ex: ler sensor + servir web ao mesmo tempo)
DAC (Digital-to-Analog Converter);Converte número digital em tensão analógica. R-2R ladder = implementação mais simples
Watchdog timer;Reseta o MCU se firmware travar — se não receber "prova de vida" periódica, faz reset automático
EEPROM do ATmega;Memória não-volátil (1 KB) — salva configurações que sobrevivem ao reset
Brownout detector;Reseta o MCU se tensão de alimentação cair abaixo de limite seguro
DMA (Direct Memory Access);Transfere dados entre periférico e memória sem CPU. Libera processador para outras tarefas
Mapa de memória típico de MCU;Flash (código), SRAM (variáveis), EEPROM (config), periféricos mapeados em endereços fixos
Palavra-chave volatile em C;Impede otimização do compilador — variável pode mudar fora do fluxo normal (ISR, hardware register)
Bootloader;Programa em região protegida da Flash que permite gravar novo firmware (via UART, USB) sem programador externo
Manipulação de bits: set/clear/toggle;Set: REG |= (1 << n). Clear: REG &= ~(1 << n). Toggle: REG ^= (1 << n)
SPI modos (CPOL/CPHA);4 modos: CPOL define polaridade idle do clock, CPHA define borda de amostragem. Modo 0 (0,0) é o mais comum
I2C: por que pull-up é obrigatório?;Barramento é open-drain — dispositivos só puxam para GND, resistores puxam para VCC (tipicamente 4.7 kΩ)
Cálculo de baud rate (UART);UBRR = \(\frac{f_{CLK}}{16 \cdot baud} - 1\). Erro > 2% causa perda de dados
Prioridade em RTOS;Tarefas com prioridade maior preemptam as de menor. Inversão de prioridade: baixa segura mutex que alta precisa → deadlock
