\(d(P_1, P_2) \ (\text{Distância 3D})\);\(\sqrt{(x_2-x_1)^2+(y_2-y_1)^2+(z_2-z_1)^2}\)
\(\text{Esfera } (C(x_0,y_0,z_0), r=a) \implies \text{Eq}\);\((x-x_0)^2+(y-y_0)^2+(z-z_0)^2=a^2\)
\(|\vec{v}| \ (\text{Módulo do Vetor 3D})\);\(\sqrt{v_1^2+v_2^2+v_3^2}\)
\(\vec{AB} \ (\text{Vetor Formado por Dois Pontos})\);\(\langle x_2-x_1, y_2-y_1, z_2-z_1 \rangle\)
\(\vec{u} \cdot \vec{v} \ (\text{Produto Escalar / Ponto})\);\(u_1v_1+u_2v_2+u_3v_3\)
\(\theta(\vec{u},\vec{v}) \ (\text{Ângulo Entre Vetores})\);\(\cos^{-1}\left(\frac{\vec{u} \cdot \vec{v}}{|\vec{u}||\vec{v}|}\right)\)
\(\vec{u} \perp \vec{v} \iff \dots \ (\text{Condição de Ortogonalidade})\);\(\vec{u} \cdot \vec{v} = 0\)
\(\vec{u} \cdot \vec{u} \ (\text{Produto Escalar Pela Própria Base})\);\(|\vec{u}|^2\)
\(\text{Proj}_{\vec{v}} \vec{u} \ (\text{Projeção Vetorial de } \vec{u} \text{ em } \vec{v})\);\(\left(\frac{\vec{u} \cdot \vec{v}}{|\vec{v}|^2}\right)\vec{v}\)
\(\vec{u} \times \vec{v} \ (\text{Produto Vetorial / Cruzado})\);\(\langle u_2v_3-u_3v_2, u_3v_1-u_1v_3, u_1v_2-u_2v_1 \rangle\)
\(|\vec{u} \times \vec{v}| \ (\text{Módulo do Produto Vetorial})\);\(|\vec{u}||\vec{v}|\sin\theta \ (\text{Área do Paralelogramo})\)
\(\vec{u} \times \vec{v} \perp \dots \ (\text{Direção do Produto Vetorial})\);\(\vec{u} \land \vec{v} \implies \vec{u} \cdot (\vec{u} \times \vec{v}) = 0\)
\((\vec{u} \times \vec{v}) \cdot \vec{w} \ (\text{Produto Misto})\);\(\det[\vec{u},\vec{v},\vec{w}] \ (\text{Volume do Paralelepípedo})\)
\(\text{Reta } L \ (P_0, \vec{v}) \implies \vec{r}(t)\);\(\vec{r}_0 + t\vec{v}\)
