Relutância (\(\mathcal{R}\)) de um núcleo magnético;Oposição à passagem do fluxo magnético. O ar tem altíssima relutância comparado ao aço silício
"Joelho da Saturação" na Curva B-H do ferro;Ponto a partir do qual aumentar a corrente praticamente não aumenta mais o fluxo magnético, desperdiçando energia em calor
Transformador (intuição);"Alavanca elétrica": troca tensão por corrente mantendo a potência constante. Se \(V\) sobe, \(I\) cai proporcionalmente
Por que um Transformador NÃO funciona com corrente contínua (DC)?;Porque precisa de variação de fluxo (\(d\Phi/dt\)) para induzir tensão no secundário. Em DC, o fluxo é constante, logo \(d\Phi/dt = 0\).
Relação de espiras para Transformador ideal (tensão);\(V_1 / V_2 = N_1 / N_2\)
Relação de correntes para Transformador ideal;\(I_1 / I_2 = N_2 / N_1\) (inverso da tensão, pois \(P_{in} = P_{out}\)).
Perdas no Cobre (\(P_{Cu}\)) de um transformador;Aquecimento causado pela resistência dos enrolamentos: \(P_{Cu} = I^2 R\)
Perdas por Histerese num transformador;Aquecimento do núcleo de ferro devido à constante inversão do campo magnético a cada ciclo da rede
Correntes Parasitas (Foucault) e solução;Minicorrentes induzidas dentro do núcleo de ferro maciço. Solução: laminar o núcleo (chapas finas isoladas entre si)
Ensaio de Curto-Circuito de um transformador;Mede perdas no cobre (\(P_{Cu}\)), aplicando corrente nominal com tensão reduzida
Ensaio a Vazio de um transformador;Mede perdas no ferro (\(P_{Fe}\)), aplicando tensão nominal sem carga no secundário
Fórmula do Rendimento (\(\eta\)) de um transformador;\(\eta = \frac{P_{saida}}{P_{saida} + P_{Cu} + P_{Fe}}\)
Fórmula da Regulação de Tensão em transformadores;\(\%Reg = \frac{V_{2,vazio} - V_{2,carga}}{V_{2,carga}} \times 100\%\)
Autotransformador;Enrolamento único com derivação (tap). Mais eficiente e menor, porém sem isolação galvânica
Conexão Dy (Delta-Estrela) em trafos trifásicos;Primário em \(\Delta\), secundário em Y. Usado em distribuição pois disponibiliza o Neutro no secundário.
Conexão Yd (Estrela-Delta) em trafos trifásicos;Primário em Y, secundário em \(\Delta\). Sem neutro no secundário, usado em linhas de transmissão.
Trafo Dy: relação entre tensões de linha e de fase no secundário;A tensão de fase obedece à relação de espiras. A tensão de linha do secundário é \(\sqrt{3}\) vezes a tensão de fase.
Exemplo: Trafo Rebaixador 10:1 com \(V_1 = 380\text{V}\). Qual \(V_2\)?;38V.
Exemplo: Trafo 5:1, \(V_1=1000\text{V}\), \(V_2=200\text{V}\), \(I_2=50\text{A}\). Qual \(I_1\)?;10A (\(50 \times 200 / 1000\)).
Exemplo: Trafo Elevador 1:20 com \(V_1=12\text{V}\). Qual \(V_2\)?;240V.
Exemplo: Trafo ideal \(P_{in}=1\text{kW}\), \(V_2=100\text{V}\). Qual \(I_2\)?;10A.
