Quais são as 7 Unidades de Base do SI?;metro (m), quilograma (kg), segundo (s), ampere (A), kelvin (K), mol (mol), candela (cd).
Unidade SI de Distância (d);m (metro)
Unidade SI de Massa (m);kg (quilograma)
Unidade SI de Tempo (t);s (segundo)
Unidade SI de Corrente Elétrica (I);A (ampere)
Unidade SI de Temperatura Termodinâmica (T);K (kelvin)
Unidade SI de Quantidade de Substância (n);mol
Unidade SI de Intensidade Luminosa;cd (candela)
Unidade SI de Aceleração (a);\(\text{m/s}^2\)
Unidade SI de Área (A);\(\text{m}^2\)
Qual a unidade SI de Capacitância e sua decomposição?;F (farad) = C/V (coulomb por volt)
Qual a unidade SI de Carga Elétrica (Q)?;C (coulomb) = A\(\cdot\)s (ampere-segundo)
Qual a unidade SI de Intensidade do Campo Elétrico (E)?;V/m = N/C (volt por metro, ou newton por coulomb)
Qual a unidade SI de Resistência Elétrica e sua decomposição?;\(\Omega\) (ohm) = V/A (volt por ampere — Lei de Ohm)
Qual a unidade SI de Tensão e sua decomposição?;V (volt) = W/A = J/C (watt por ampere, ou joule por coulomb)
Qual a unidade SI de Energia / Trabalho e sua decomposição?;J (joule) = N\(\cdot\)m = W\(\cdot\)s (newton-metro, ou watt-segundo)
Qual a unidade SI de Força (F) em unidades base?;N (newton) = \(\frac{\text{kg} \cdot \text{m}}{\text{s}^2}\)
Qual a unidade SI de Frequência (f)?;Hz (hertz) = \(\text{s}^{-1}\)
Qual a unidade SI de Indutância e sua decomposição?;H (henry) = V\(\cdot\)s/A = Wb/A (volt-segundo por ampere)
Qual a unidade SI de Fluxo Magnético e sua decomposição?;Wb (weber) = V\(\cdot\)s (volt-segundo)
Qual a unidade SI de Potência e sua decomposição?;W (watt) = J/s = V\(\cdot\)A (joule por segundo, ou volt-ampere)
Qual a unidade SI de Pressão e sua decomposição?;Pa (pascal) = N/m\(^2\) (newton por metro quadrado)
Qual a unidade SI de Iluminação (E)?;lx (lux) = \(\frac{\text{cd}}{\text{m}^2}\)
Qual a unidade SI de Densidade (D)?;\(\text{kg/m}^3\)
Qual a unidade SI de Velocidade (v)?;\(\text{m/s}\)
Qual a unidade SI de Volume (V)?;\(\text{m}^3\)
Relação entre Volt, Watt e Ampere;V = W/A (um volt é um watt por ampere).
Relação entre Joule, Coulomb e Volt;J = C \(\cdot\) V (um joule é um coulomb vezes um volt).
Qual o prefixo SI para \(10^{-12}\)?;pico (p)
Qual o prefixo SI para \(10^{-9}\)?;nano (n)
Qual o prefixo SI para \(10^{-6}\)?;micro (\(\mu\))
Qual o prefixo SI para \(10^{-3}\)?;mili (m)
Qual o prefixo SI para \(10^{3}\)?;kilo (k)
Qual o prefixo SI para \(10^{6}\)?;mega (M)
Qual o prefixo SI para \(10^{9}\)?;giga (G)
Qual o prefixo SI para \(10^{12}\)?;tera (T)
Converter: \(4.7\text{k}\Omega\) para \(\Omega\);\(4700\,\Omega\)
Converter: \(100\text{nF}\) para \(\text{F}\);\(100 \times 10^{-9} = 10^{-7}\text{F}\)
Converter: \(2.2\text{mH}\) para \(\text{H}\);\(2.2 \times 10^{-3}\text{H}\)
Análise dimensional: \(V = IR\). Verificar unidades;\(\text{V} = \text{A} \cdot \Omega = \text{A} \cdot \frac{\text{V}}{\text{A}} = \text{V}\) ✓
Análise dimensional: \(P = IV\). Verificar unidades;\(\text{W} = \text{A} \cdot \text{V} = \frac{\text{C}}{\text{s}} \cdot \frac{\text{J}}{\text{C}} = \frac{\text{J}}{\text{s}} = \text{W}\) ✓
