\(q \ (\text{Carga Elétrica, em Coulombs})\);\(\int i \, dt \ (\text{Área sob a curva de corrente})\)
\(i \ (\text{Corrente Elétrica, em Ampères})\);\(\frac{dq}{dt} \ (\text{Taxa de variação da carga no tempo})\)
\(V \ (\text{Tensão Elétrica, em Volts})\);\(\frac{dW}{dq} \ (\text{Joules por Coulomb})\)
\(P \ (\text{Potência DC})\);\(iV = i^2R = \frac{V^2}{R}\)
\(\text{Energia (em Watt-hora)}\);\(\text{Potência} \times \text{Tempo}\)
\(R \ (\text{Resistência de um material})\);\(\rho\frac{l}{A} \ (\rho = \text{resistividade, } l = \text{comprimento, } A = \text{área})\)
\(\text{Lei de Ohm}\);\(V = iR \implies i = \frac{V}{R}\)
\(\text{Curto-Circuito (Short Circuit)}\);\(R = 0 \, \Omega \ (\text{Tensão nula, qualquer corrente pode fluir})\)
\(\text{Circuito Aberto (Open Circuit)}\);\(R = \infty \, \Omega \ (\text{Corrente nula, sem fluxo})\)
\(\text{Equação Topológica (Ramos } B \text{, Nós } N \text{, Malhas } L \text{)}\);\(B = L + N - 1\)
\(\text{Elementos em Série (Características)}\);\(\text{Compartilham a mesma CORRENTE. Dividem a tensão.}\)
\(\text{Elementos em Paralelo (Características)}\);\(\text{Compartilham a mesma TENSÃO. Dividem a corrente.}\)
\(\text{Linearidade de Circuitos}\);\(\text{Propriedade que permite o Princípio da Superposição (Relação } V/I = R \text{ é linear).}\)
\(\text{Lei de Kirchhoff dos Nós (LKC)}\);\(\sum I_{\text{entra}} = \sum I_{\text{sai}} \ (\text{Soma das correntes num nó é zero})\)
\(\text{Lei de Kirchhoff das Tensões (LKT / LVM)}\);\(\sum V = 0 \ (\text{Soma das tensões em um laço/malha fechado é zero})\)
\(V_x \ (\text{Divisor de Tensão - Elementos em Série})\);\(V_s \left( \frac{R_x}{R_{eq}} \right)\)
\(I_1 \ (\text{Divisor de Corrente - Apenas DOIS Resistores em Paralelo})\);\(I_s \left( \frac{R_2}{R_1 + R_2} \right) \ (\text{Usa-se o resistor OPOSTO no numerador})\)
\(\text{Procedimento: Análise Nodal (Passos)}\);\(1.\text{ Escolher nó de referência (Terra=0V). 2. Nomear os outros nós. 3. Aplicar LKC em cada nó. 4. Resolver o sistema.}\)
\(\text{Análise Nodal: equação da LKC num nó}\);\(i = \frac{V_{sai} - V_{chega}}{R}\) para cada ramo conectado ao nó
\(\text{Supernó (O que é?)}\);\(\text{Fonte de TENSÃO entre dois nós que não são referência. Tratamento: englobar ambos como um único nó}\)
\(\text{Supernó: como resolver?}\);\(\text{Aplicar LKC no contorno do supernó + usar a equação de restrição (tensão da fonte = diferença entre os nós)}\)
\(\text{Procedimento: Análise de Malhas (Passos)}\);\(1.\text{ Atribuir correntes de malha. 2. Aplicar LKT em cada malha. 3. Resolver o sistema.}\)
\(\text{Supermalha (O que é?)}\);\(\text{Fonte de CORRENTE entre duas malhas. Tratamento: ignorar o ramo e criar uma grande malha}\)
\(\text{Supermalha: como resolver?}\);\(\text{Aplicar LKT na supermalha + restrição: corrente da fonte = diferença das correntes de malha}\)
\(\text{Procedimento: Transformação de Fontes}\);\(\text{Fonte de Tensão } (V_s) \text{ em série com } R_s \iff \text{Fonte de Corrente } (I_s = V_s/R_s) \text{ em paralelo com } R_s\)
\(\text{Procedimento: Teorema da Superposição}\);\(1.\text{ Desligar todas as fontes independentes, exceto uma. 2. Calcular resposta. 3. Repetir. 4. Somar.}\)
\(\text{Como "desligar" fontes na Superposição ou Thévenin?}\);\(V_s \to\) curto, \(I_s \to\) aberto. Fontes dependentes NUNCA se desligam
\(\text{Teorema de Thévenin (Definição)}\);\(\text{Qualquer circuito linear pode ser substituído por uma Fonte de Tensão } (V_{th}) \text{ em SÉRIE com um Resistor } (R_{th})\)
\(V_{th} \ (\text{Tensão de Thévenin})\);\(V_{oc} \ (\text{Tensão de circuito aberto nos terminais de saída})\)
\(\text{Procedimento: Calcular } R_{th} \ (\text{Circuito SEM fontes dependentes})\);\(\text{Desligar todas as fontes independentes e calcular a resistência equivalente vista dos terminais.}\)
\(\text{Procedimento: Calcular } R_{th} \ (\text{Circuito COM fontes dependentes})\);\(1. \text{ Achar } V_{oc} \text{ (Tensão em aberto). 2. Achar } I_{sc} \text{ (Corrente de curto-circuito). 3. } R_{th} = V_{oc} / I_{sc}\)
\(\text{Teorema de Norton (Definição)}\);\(\text{Qualquer circuito linear pode ser substituído por uma Fonte de Corrente } (I_N) \text{ em PARALELO com um Resistor } (R_N)\)
