\(\lim_{x \to a} f(x) = L \ (\text{Definição Formal do Limite/Epsilon-Delta})\);\(\forall \epsilon > 0, \exists \delta > 0 : 0 < |x-a| < \delta \implies |f(x)-L| < \epsilon\)
\(\lim_{x \to a} f(x) = L \implies \lim_{x \to a^+} f(x) \dots \lim_{x \to a^-} f(x)\ \text{(Limites Laterais)}\);\(L\)
\(\lim_{x \to a^+} f(x) \neq \lim_{x \to a^-} f(x) \implies \lim_{x \to a} f(x) \ \text{(Limites Laterais Diferentes)}\);\(\nexists \ (\text{Não existe})\)
\(\lim_{x \to a} [cf(x)] \ \text{(Limite da Constante)}\);\(c \lim_{x \to a} f(x)\)
\(\lim_{x \to a} [f(x) \pm g(x)] \ \text{(Limite da Soma/Subtração)}\);\(\lim_{x \to a} f(x) \pm \lim_{x \to a} g(x)\)
\(\lim_{x \to a} [f(x)g(x)] \ \text{(Limite do Produto)}\);\(\lim_{x \to a} f(x) \lim_{x \to a} g(x)\)
\(\lim_{x \to a} \left[\frac{f(x)}{g(x)}\right] \ (\lim g(x) \neq 0) \ \text{(Limite do Quociente)}\);\(\frac{\lim_{x \to a} f(x)}{\lim_{x \to a} g(x)}\)
\(\lim_{x \to \infty} e^x \ \text{(Exponencial Natural no Infinito)}\);\(\infty\)
\(\lim_{x \to -\infty} e^x \ \text{(Exponencial Natural no Infinito Negativo)}\);\(0\)
\(\lim_{x \to \infty} \ln(x) \ \text{(Logaritmo no Infinito)}\);\(\infty\)
\(\lim_{x \to 0^+} \ln(x) \ \text{(Logaritmo Perto de Zero)}\);\(-\infty\)
\(r > 0 \implies \lim_{x \to \infty} \frac{b}{x^r} \ \text{(Divisão Polinomial no Infinito)}\);\(0\)
\(\lim_{x \to a} \frac{f(x)}{g(x)} = \frac{0}{0} \lor \frac{\pm\infty}{\pm\infty} \implies \lim_{x \to a} \frac{f(x)}{g(x)} \ (\text{Regra de L'Hôpital para Indeterminação})\);\(\lim_{x \to a} \frac{f'(x)}{g'(x)}\)
\(f(x) \text{ contínua em } a \iff \lim_{x \to a} f(x) \ \text{(Continuidade)}\);\(f(a)\)
\(f \text{ contínua em } [a,b], f(a) < M < f(b) \implies \exists c \in (a,b)\ \text{(TVI - Teorema do Valor Intermediário)}\);\(f(c) = M \ (\text{TVI})\)
\(f'(x) \ (\text{Definição Formal de Derivada / Taxa de Variação})\);\(\lim_{h \to 0} \frac{f(x+h)-f(x)}{h}\)
\(y(x) \ (\text{Equação da Reta Tangente em } x=a)\);\(y = f(a) + f'(a)(x-a)\)
