Disjuntor: o que protege de fato?;O FIO — protege contra sobreaquecimento da fiação, evitando incêndios. Equipamentos precisam de proteção interna própria
DR (Diferencial Residual): o que detecta que disjuntor não vê?;Fuga de corrente para terra (choque elétrico). Fibrilação ventricular ocorre com apenas 30mA — disjuntor de 20A não veria
Dimensionamento rápido: fio suporta 25A, chuveiro consome 21A. Disjuntor: 16A, 25A ou 32A?;25A. O disjuntor deve ser \(\leq\) capacidade do fio (32A queimaria a fiação) e \(\geq\) corrente da carga (16A não atende).
Por que dimensionar proteção pela corrente e não pela potência?;Porque o aquecimento do fio é dado pelo efeito Joule (\(I^2R\)). É a corrente que determina se o isolamento vai derreter.
Seção mínima NBR 5410 para circuitos de Iluminação;1.5 mm².
Seção mínima NBR 5410 para Tomadas de Uso Geral (TUG);2.5 mm².
A partir de qual potência é obrigatório circuito exclusivo (TUE)?;1200 VA (chuveiro, ar-condicionado, micro-ondas).
O que é o Fator de Correção por Agrupamento?;Fator que reduz a capacidade de corrente dos cabos quando vários passam no mesmo eletroduto, pois o calor acumulado sufoca a dissipação.
Queda de tensão máxima total permitida pela NBR 5410 (medidor até tomada final);7%.
Fórmula de queda de tensão no cabo;\(V_{queda} = I_{carga} \times R_{cabo}\)
Exemplo: Fio com \(R=1\,\Omega\), carga de \(I=10\text{A}\). Queda de tensão?;10V (\(V_{queda} = 10 \times 1\)).
Exemplo: Queda de 10V em rede de 220V. É aceitável?;Sim — \(\approx 4.5\%\) (\(10/220\)), dentro do limite de 7%.
Tendo \(V_{fonte}=220\text{V}\) e \(V_{queda}=10\text{V}\), o equipamento recebe...;210V.
Fusível;Protege contra curto-circuito. Sacrifica elo condutor por derretimento instantâneo em correntes extremas. Descartável
Disjuntor Termomagnético;Componente rearmável que substitui fusíveis. Combina proteção térmica (sobrecarga) e magnética (curto-circuito)
Atuação Térmica do disjuntor (lâmina bimetálica);Protege contra sobrecarga prolongada. Resposta lenta e gradual — tolera picos breves.
Atuação Magnética do disjuntor (bobina eletromagnética);Protege contra curto-circuito. Resposta quase instantânea quando o limiar da curva é atingido.
Disjuntor Curva B (3 a 5× \(I_{nom}\)): para que tipo de carga?;Cargas puramente resistivas (iluminação, chuveiro, fornos elétricos).
Disjuntor Curva C (5 a 10× \(I_{nom}\)): para que tipo de carga?;Cargas com inrush moderado a forte (motores AC, transformadores, fontes chaveadas).
Sensibilidade padrão de um DR para proteção humana;30mA (0.03A).
Lógica de disparo do DR (Diferencial Residual);Ele subtrai as correntes na fase e no neutro via TC toroidal. Dispara quando \(I_{fase} \neq I_{neutro}\) (diferença = fuga para terra).
Relé Térmico de Sobrecarga;Acoplado à saída do contator, protege motor contra aquecimento por operação prolongada anormal. Desarma apenas o comando
Cenário: maquinário derrete, mas disjuntor de 50A não desarmou. Por quê?;Porque a corrente puxada durante o defeito nunca excedeu 50A contínuos — o disjuntor não enxerga falha abaixo do seu limiar.
Cenário: motor de 10A trava o rotor por 30 min. Quem protege?;O relé térmico ajustável acoplado ao contator daquele motor.
Cenário: chuveiro e PC no mesmo circuito/DR. Se o PC der fuga, o chuveiro desliga?;Sim. O DR corta toda a fase do circuito a jusante — tudo desliga.
Esquema TN-S (Padrão Ouro);PE e Neutro são cabos separados e independentes desde o medidor. Norma preferida no Brasil para instalações novas.
Esquema TN-C;PE e Neutro combinados num único cabo PEN. Opção mais barata mas menos segura — uso restrito.
Esquema TT (rural);Terra da instalação é independente do neutro da concessionária, com malha própria cravada no solo. DR é obrigatório.
Esquema IT (hospital/centro cirúrgico);Neutro isolado. No 1º defeito fase-terra, a corrente de fuga é ~zero. Garante continuidade sem risco ao paciente.
Qual regime de aterramento indicar para edificação nova?;TN-S — referência padrão.
Cor do cabo PE (Terra de Proteção) no padrão brasileiro;Verde ou verde com listras amarelas.
Fator de Demanda;Fator estatístico que reduz a carga total prevista, pois nem todas as cargas operam simultaneamente em potência máxima
Método da Esfera Rolante em SPDA;Uma esfera teórica de raio definido pelo nível de risco é "rolada" sobre a edificação. Onde tocar a estrutura, exige ponta captora aterrada.
Gaiola de Faraday em SPDA;Malha condutora que envolve a edificação, criando equipotencialidade externa. Corrente do raio escoa pela superfície, mantendo o interior seguro.
Exemplo: projeto com Fator de Demanda de 0.6 sobre carga instalada de 100kW;Demanda dimensionada = 60kW. Os cabos e disjuntor do alimentador são dimensionados para 60kW, não 100kW.
