Por que web em IoT é pior que web normal?;Webserver roda como root — command injection = root shell imediata, sem escalar privilégios
Web servers comuns em IoT;lighttpd, uhttpd, GoAhead, mini_httpd, Boa
Command injection em IoT (alvo típico);Campos de ping/traceroute/DNS — internamente chamam system() com input do usuário
Directory traversal em IoT;Parâmetro ?file=../../../etc/shadow — acesso a arquivos arbitrários
CSRF em IoT;Sem token anti-CSRF — mudar senha/config via request forjada
CGI em IoT (.cgi);Ponto mais vulnerável — frequentemente escritos em C sem validação de input
SDR (Software Defined Radio);Demodulação em software, não hardware — um dongle substitui equipamento dedicado por protocolo
RTL-SDR;Dongle de TV digital (~R\$60). Só recebe (RX). 25-1750 MHz
HackRF One;TX + RX, 1 MHz – 6 GHz (~R\$250). Pode transmitir
YARD Stick One;Especializado em sub-GHz (controles remotos, alarmes, keyfobs)
Flipper Zero;Dispositivo portátil multi-protocolo (sub-GHz, NFC, RFID, IR)
OOK (On-Off Keying);Modulação mais simples: carrier ON = 1, OFF = 0
FSK (Frequency Shift Keying);Varia frequência para representar bits: \(f_1\) = 0, \(f_2\) = 1
Banda 433 MHz;Controles de garagem, sensores baratos, alarmes (ISM)
Banda 2.4 GHz;Wi-Fi, Bluetooth/BLE, Zigbee, drones (ISM)
URH (Universal Radio Hacker);Captura → demodula → decodifica → analisa protocolo RF
Replay attack (RF);Gravar transmissão legítima e retransmitir (funciona com código fixo)
Jamming (RF);Transmitir ruído na frequência alvo → bloqueia comunicação
Rolling code;Cada transmissão usa código único e sequencial — receptor rejeita códigos repetidos
BLE advertising;Broadcast sem conexão — qualquer scanner vê nome, services e manufacturer data sem autenticar
GATT (Generic Attribute Profile);Organiza dados BLE em Services → Characteristics (como API estruturada)
Service BLE;Grupo de characteristics relacionadas (ex: Battery Service 0x180F)
Characteristic BLE;Um valor específico dentro de um service (ex: Battery Level, Heart Rate)
UUID 0x180F (BLE);Battery Service
UUID 0x1812 (BLE);HID (Human Interface Device) Service
Just Works pairing (BLE);Sem autenticação — MITM trivial (dispositivos sem tela/teclado)
gatttool -b XX:XX:XX -I;Conecta e interage com GATT BLE (ler/escrever characteristics)
bettercap (BLE);Scan avançado + MITM BLE
PIN de pareamento BLE (6 dígitos);Apenas \(10^6\) combinações — bruteforce viável
IEEE 802.15.4;Protocolo base do Zigbee. 2.4 GHz, rede mesh
Zigbee vs BLE (topologia);Zigbee = mesh (dispositivos roteiam entre si). BLE = ponto-a-ponto
Zigbee network key;Chave AES-128 — frequentemente transmitida em plaintext durante join!
KillerBee;Framework para sniffing e injeção de pacotes Zigbee
Evil Twin em IoT;Criar AP falso com mesmo SSID — dispositivos IoT reconectam automaticamente sem validar
WPS bruteforce;PIN de 8 dígitos (efetivos 7+1) → ~11.000 tentativas (Reaver/Bully)
Credenciais Wi-Fi no firmware;grep -r "password\|psk" /etc/config/ → frequentemente em plaintext
aircrack-ng suite;airmon-ng (monitor), airodump-ng (captura), aireplay-ng (deauth), aircrack-ng (crack)
