\(\Gamma(n+1) \ (\text{Função Gama para Inteiros})\);\(\text{n!}\)
\(\Gamma(t) \ (\text{Definição da Função Gama})\);\(\int_0^\infty e^{-x}x^{t-1} dx\)
\(\text{EDO Linear 1ª Ordem (Forma Padrão)}\);\(y' + a(x)y = f(x)\)
\(y' + P(x)y = Q(x) \implies \mu(x) \ (\text{Fator Integrante})\);\(e^{\int P(x)dx}\)
\(y' + P(x)y = Q(x) \implies y(x) \ (\text{Solução EDO 1ª Ordem via Fator Integrante})\);\(\frac{\int \mu(x)Q(x)dx + C}{\mu(x)}\)
\(\frac{dy}{dx} = \frac{g(x)}{f(y)} \implies \text{Solução (EDO Separável)}\);\(\int f(y)dy = \int g(x)dx + C\)
\(M(x,y)dx + N(x,y)dy = 0 \text{ Exata} \iff \dots \ (\text{Condição EDO Exata})\);\(\frac{\partial M}{\partial y} = \frac{\partial N}{\partial x}\)
\(y' + P(x)y = Q(x)y^n \implies \text{Equação Diferencial de } \dots\);\(\text{Bernoulli}\)
\(y' + P(x)y = Q(x)y^n \implies \text{Substituição EDO Bernoulli } z\);\(y^{1-n}\)
\(\frac{dy}{dx} = F\left(\frac{y}{x}\right) \implies \text{Substituição EDO Homogênea } v\);\(\frac{y}{x} \implies y = vx\)
\(y = vx \implies y' \ (\text{Regra do Produto na Substituição})\);\(v + x\frac{dv}{dx}\)
\(ay'' + by' + cy = 0 \implies \text{Equação Característica (EDO Linear 2ª Ordem Homogênea)}\);\(ar^2 + br + c = 0\)
\(ar^2 + br + c = 0 \land (r_1 \neq r_2 \in \mathbb{R}) \implies y(x) \ (\text{Solução Raízes Reais Distintas})\);\(c_1e^{r_1x} + c_2e^{r_2x}\)
\(ar^2 + br + c = 0 \land (r_1 = r_2 = r \in \mathbb{R}) \implies y(x) \ (\text{Solução Raízes Reais Iguais})\);\(c_1e^{rx} + c_2xe^{rx}\)
\(ar^2 + br + c = 0 \land (r_{1,2} = \lambda \pm \mu i) \implies y(x) \ (\text{Solução Raízes Complexas / Oscilações})\);\(e^{\lambda x}(c_1\cos(\mu x) + c_2\sin(\mu x))\)
\(W(y_1, y_2)(x) \ (\text{Determinante Wronskiano})\);\(\begin{vmatrix} y_1 & y_2 \\ y_1' & y_2' \end{vmatrix}\)
\(W(y_1, y_2)(x) \neq 0 \iff \dots \ (\text{Teste Wronskiano})\);\(y_1, y_2 \text{ Linearmente Independentes (LI)}\)
\(x^2y'' + axy' + by = 0 \implies \text{Equação Diferencial de } \dots\);\(\text{Euler-Cauchy}\)
\(x^2y'' + axy' + by = 0 \implies \text{Chute para Solução } y(x) = \dots \ (\text{Série Euler-Cauchy})\);\(x^\lambda\)
\(\text{Euler-Cauchy} \land (\lambda_1 \neq \lambda_2 \in \mathbb{R}) \implies y(x) \ (\text{Solução Raízes Distintas})\);\(c_1x^{\lambda_1} + c_2x^{\lambda_2}\)
\(\text{Euler-Cauchy} \land (\lambda_1 = \lambda_2 = \lambda \in \mathbb{R}) \implies y(x) \ (\text{Solução Raízes Múltiplas})\);\(x^\lambda(c_1 + c_2\ln|x|)\)
\(\text{Euler-Cauchy} \land (\lambda_{1,2} = \alpha \pm i\beta) \implies y(x) \ (\text{Solução Raízes Complexas})\);\(x^\alpha(c_1\cos(\beta\ln|x|) + c_2\sin(\beta\ln|x|))\)
\(ay'' + by' + cy = f(x) \implies y(x) \ (\text{Solução Geral EDO Não Homogênea})\);\(y_h + y_p \ (\text{Soma da Homogênea + Particular})\)
\(y'' = f(y') \ (\text{EDO Redutível - Falta } x, y) \implies \text{Substituição } p\);\(y' \implies p' = f(p)\)
\(\mathcal{L}\{f(t)\} = F(s) \ (\text{Definição da Transformada de Laplace Transforma Cálculo em Álgebra})\);\(\int_0^\infty e^{-st}f(t) dt\)
\(\mathcal{L}\{f'(t)\} \ (\text{Transformada da 1ª Derivada})\);\(sF(s) - f(0)\)
\(\mathcal{L}\{f''(t)\} \ (\text{Transformada da 2ª Derivada})\);\(s^2F(s) - sf(0) - f'(0)\)
\(\mathcal{L}\{1\} \ (\text{Transformada de Laplace do Degrau Unitário / Constante})\);\(\frac{1}{s}\)
\(\mathcal{L}\{e^{at}\} \ (\text{Transformada de Laplace da Exponencial})\);\(\frac{1}{s-a}\)
\(\mathcal{L}\{t^n\} \ (\text{Transformada de Laplace da Função Potência})\);\(\frac{n!}{s^{n+1}}\)
\(\mathcal{L}\{\sin(at)\} \ (\text{Transformada de Laplace do Seno})\);\(\frac{a}{s^2+a^2}\)
\(\mathcal{L}\{\cos(at)\} \ (\text{Transformada de Laplace do Cosseno})\);\(\frac{s}{s^2+a^2}\)
\(\mathcal{L}\{u_a(t)\} \lor \mathcal{L}\{u(t-a)\} \ (\text{Transformada de Laplace Função Degrau Deslocado / Heaviside})\);\(\frac{e^{-as}}{s}\)
\(\mathcal{L}\{\delta(t-a)\} \ (\text{Transformada de Laplace do Impulso de Dirac})\);\(e^{-as}\)
\(\mathcal{L}\{e^{at}f(t)\} \ (\text{1º Teorema do Deslocamento em s})\);\(F(s-a)\)
\(\mathcal{F}\{f(t)\} = \hat{f}(\omega) \ (\text{Definição de Transformada de Fourier})\);\(\int_{-\infty}^\infty f(t)e^{-i\omega t} dt\)
\(\mathcal{F}^{-1}\{\hat{f}(\omega)\} = f(t) \ (\text{Transformada Inversa de Fourier})\);\(\frac{1}{2\pi} \int_{-\infty}^\infty \hat{f}(\omega)e^{i\omega t} d\omega\)
