U-Boot (bootloader);Inicializa hardware e carrega kernel. Interromper com tecla durante countdown dá acesso ao prompt
U-Boot: comandos essenciais;printenv (variáveis), md (dump memória), sf read (ler flash), bootm (bootar imagem)
JTAG (definição);Interface de debug que dá acesso direto ao processador — parar CPU, ler/escrever memória, single-step
JTAG: pinos obrigatórios;TDI, TDO, TMS, TCK (+ opcional TRST)
SWD (Serial Wire Debug);Versão simplificada do JTAG para ARM — 2 fios (SWDIO, SWCLK) em vez de 4
Identificar JTAG no PCB;Grupo de pads alinhados (geralmente 10 ou 20 pinos). Usar JTAGulator ou JTAG-Scanner
OpenOCD;Framework open-source para debug via JTAG/SWD — conecta GDB ao target
STM32 RDP Level 0;Sem proteção — JTAG/SWD totalmente acessível
STM32 RDP Level 1;JTAG/SWD desabilitado. Flash protegida. Reversível (apaga flash ao reverter)
STM32 RDP Level 2;Proteção permanente (irreversível, fuses queimados)
ESP32 Secure Boot;Verifica assinatura do firmware antes de executar
ESP32 Flash Encryption;Firmware na flash é criptografado (AES-256)
Voltage glitching (conceito);Pulso de tensão no momento do check de proteção \(\to\) bit lido errado \(\to\) bypass
binwalk firmware.bin;Lista magic bytes e partições encontradas
binwalk -e firmware.bin;Extrai automaticamente tudo que reconhecer
binwalk -E firmware.bin;Gráfico de entropia (identifica criptografia vs compressão)
binwalk -A firmware.bin;Identifica opcodes (detecta arquitetura: ARM, MIPS, x86)
SquashFS;Filesystem read-only comprimido. O mais comum em roteadores
JFFS2;Filesystem read-write para NOR flash (journaling)
UBIFS;Filesystem para NAND flash (substituto moderno do JFFS2)
Ordem típica no blob de firmware;Header \(\to\) bootloader \(\to\) kernel \(\to\) rootfs \(\to\) config \(\to\) art
Entropia \(\approx 1.0\) (uniforme);Provavelmente criptografado
Entropia \(\approx 0.9\) (alta, com padrões);Provavelmente comprimido (gzip, LZMA)
Entropia baixa (\(\approx 0.3{-}0.5\));Dados raw, strings ou código não comprimido
Ghidra: workflow principal;strings \(\to\) XREF \(\to\) Decompiler — mensagens do dev levam às funções, decompiler mostra a lógica
Funções perigosas: system()/popen();Executam comandos do OS — command injection se input do usuário chega sem sanitização
Funções perigosas: strcpy()/sprintf();Copiam sem verificar tamanho — buffer overflow
Firmware MIPS LE 32: configurar Ghidra;MIPS:LE:32:default
SquashFS repack;mksquashfs squashfs-root/ new.sqsh -comp xz
Firmware modificado não inicializa (Bad CRC);Checksum do header não foi recalculado após edição
Criptografado vs comprimido;Criptografia: entropia uniforme, sem patterns. Compressão: tem headers (gzip, LZMA magic)
file firmware.bin retorna "data";Provavelmente criptografado (nenhum formato reconhecido)
