Por que o degrau \(u(t)\) é o sinal mais importante em controle?;Porque "ligar algo" = aplicar degrau — a resposta ao degrau revela tudo sobre o sistema (velocidade, overshoot, estabilidade)
Por que \(\delta(t)\) contém todas as frequências igualmente?;Porque sua Transformada de Fourier = 1 (constante) — excita todo o espectro de uma vez
Sinal contínuo (definição);\(x(t)\) definido para todo instante de tempo
Sinal discreto (definição);\(x[n]\) definido apenas em instantes espaçados por \(T\)
Sinal periódico (definição);\(x(t) = x(t+T)\) para todo \(t\), onde \(T\) é o período
Relação \(f\), \(T\) e \(\omega\);\(f = 1/T\), \(\omega = 2\pi f\)
\(u(t)\) (Degrau Unitário);0 para \(t<0\), 1 para \(t \geq 0\). Representa "ligar" algo
\(\delta(t)\) (Impulso Unitário);Infinito em \(t=0\), zero no resto, \(\int \delta(t)\,dt = 1\). "Pancada instantânea"
\(r(t)\) (Rampa);\(r(t) = t \cdot u(t)\) — cresce linearmente a partir de \(t=0\)
\(e^{at}\) (Exponencial);Crescente se \(a>0\), decrescente se \(a<0\) (circuitos RC)
Sinal de energia;\(\int |x(t)|^2 \, dt\) é finito (ex: pulso, exponencial decrescente)
Sinal de potência;Média temporal de \(|x(t)|^2\) é finita (ex: senoide, qualquer sinal periódico)
O que a convolução \(x * h\) representa fisicamente?;O sistema "pesa" toda a entrada passada pela memória \(h(t)\) — saída = entrada convolvida com resposta ao impulso
O que \(h(t)\) revela sobre um sistema LTI?;Tudo — \(h(t)\) é a impressão digital do sistema. Dois sistemas com mesmo \(h(t)\) são idênticos
\(y(t)\) (Saída de sistema LTI via convolução);\(y(t) = \int x(\tau) \cdot h(t-\tau) \, d\tau = x(t) * h(t)\)
\(h(t)\) (Resposta ao impulso);Saída quando a entrada é \(\delta(t)\). Define completamente o sistema LTI
LTI (Linear Time-Invariant);Sistema onde valem linearidade e invariância no tempo — convolução funciona
\(x(t) * \delta(t)\);\(x(t)\) — identidade da convolução
Propriedades da convolução;Comutativa, associativa e distributiva
Dualidade tempo–frequência (convolução);Convolução no tempo = multiplicação na frequência. Multiplicação no tempo = convolução na frequência
Série de Fourier (definição);Qualquer sinal periódico = soma infinita de senóides harmonicamente relacionadas
Onda quadrada de frequência \(f\) (composição);Fundamental \(f\) + harmônicos ímpares (\(3f, 5f, 7f\ldots\)) com amplitudes decrescentes
\(X(f)\) (Transformada de Fourier);\(X(f) = \int x(t) \cdot e^{-j2\pi ft} \, dt\) — decompõe sinal em frequências
\(x(t)\) (Transformada inversa de Fourier);\(x(t) = \int X(f) \cdot e^{j2\pi ft} \, df\) — reconstrói sinal a partir do espectro
Par de Fourier: \(\delta(t)\);\(\delta(t) \leftrightarrow 1\) (impulso contém todas as frequências igualmente)
Par de Fourier: \(e^{-at}u(t)\);\(e^{-at}u(t) \leftrightarrow 1/(a + j2\pi f)\)
Par de Fourier: pulso retangular;Pulso retangular \(\leftrightarrow \text{sinc}(f)\) (por isso filtro ideal é irrealizável)
DFT (Discrete Fourier Transform);Versão computacional da Transformada de Fourier para sinais discretos de comprimento finito
FFT (Fast Fourier Transform);Algoritmo que calcula a DFT em \(O(N \log N)\) em vez de \(O(N^2)\) — mesma transformada, mais rápido
O que \(s = \sigma + j\omega\) significa em Laplace?;\(\sigma\) = amortecimento (cresce/decai), \(\omega\) = oscilação. Generaliza Fourier adicionando crescimento/decaimento
Por que \(s = j\omega\) transforma Laplace em Fourier?;Anular \(\sigma\) elimina o fator de amortecimento — só sobra a parte oscilatória
\(F(s)\) (Transformada de Laplace);\(F(s) = \int_0^\infty f(t) \cdot e^{-st} \, dt\), onde \(s = \sigma + j\omega\)
Par de Laplace: \(1\);\(1 \leftrightarrow 1/s\)
Par de Laplace: \(t\);\(t \leftrightarrow 1/s^2\)
Par de Laplace: \(e^{-at}\);\(e^{-at} \leftrightarrow 1/(s+a)\)
Par de Laplace: \(\sin(\omega t)\);\(\sin(\omega t) \leftrightarrow \omega/(s^2+\omega^2)\)
Par de Laplace: \(\cos(\omega t)\);\(\cos(\omega t) \leftrightarrow s/(s^2+\omega^2)\)
Derivada no tempo em Laplace: \(\mathcal{L}\{f'(t)\}\);\(sF(s) - f(0^-)\) — derivada vira multiplicação por \(s\)
Integral no tempo em Laplace: \(\mathcal{L}\{\int f(t)\,dt\}\);\(F(s)/s\)
Procedimento: inversa de Laplace;Frações parciais → tabela de transformadas → \(f(t)\)
