Por que o trifásico domina a indústria?;Três fases defasadas de \(120°\) criam campo magnético girante constante — potência nunca passa por zero, motor gira suave.
O que \(\sqrt{3}\) significa fisicamente no sistema trifásico?;É a razão geométrica entre tensão de linha e de fase, vinda do triângulo equilátero das 3 fases no plano complexo.
Desvantagem principal do monofásico para motores;A potência instantânea pulsa e passa por zero, causando vibração e torque inconstante.
Quantos fios para 3 circuitos monofásicos separados vs trifásico equilibrado?;Monofásico: 6 fios (3 fases + 3 neutros). Trifásico equilibrado: 3 fios (grande economia de cobre).
Defasagem entre as fases \(V_a\), \(V_b\) e \(V_c\);\(120°\) ou \(2\pi/3\) radianos.
Tensão de Fase (\(V_F\)) na conexão Estrela (Y);Medida entre uma fase e o ponto Neutro.
Tensão de Linha (\(V_L\)) num sistema trifásico;Medida entre duas fases distintas.
Relação de Tensão na Estrela (Y);\(V_L = \sqrt{3} \times V_F\)
Relação de Corrente na Estrela (Y);\(I_L = I_F\)
A conexão Triângulo (\(\Delta\)) possui neutro?;Não — não há nó central.
Relação de Tensão no Triângulo (\(\Delta\));\(V_L = V_F\)
Relação de Corrente no Triângulo (\(\Delta\));\(I_L = \sqrt{3} \times I_F\)
O que ocorre ao inverter 2 das 3 fases na alimentação de um motor trifásico?;O motor gira no sentido contrário (inversão da sequência de fases).
Corrente no neutro de sistema trifásico equilibrado;Zero (0A) — as correntes das 3 fases se cancelam vetorialmente.
Por que o 3° harmônico causa corrente perigosa no neutro?;\(120° \times 3 = 360° = 0°\): as componentes de 3ª ordem ficam em fase nas 3 linhas e se SOMAM aritmeticamente no neutro — até 3× a corrente de uma fase.
Componentes Simétricas;Decomposição de sistema trifásico desequilibrado em 3 sistemas equilibrados: Sequência Positiva (gira normal), Negativa (invertida) e Zero (em fase)
Relé Diferencial (ANSI 87);Compara corrente de entrada e saída do equipamento. Se diferença exceder o limiar, indica falta interna e desliga instantaneamente
Relé de Distância (ANSI 21);Mede impedância vista dos terminais (\(V/I\)). Queda abrupta indica falta — calcula distância ao curto pela impedância medida e atua
Equação de Swing (Estabilidade Transitória);Dinâmica do ângulo de carga \(\delta\) do gerador. Se após perturbação não mantiver sincronismo com a rede, causa blackout
Corrigir o Fator de Potência aumenta a potência útil (W)?;Não. \(P\) (ativa) permanece igual. O que diminui é \(S\) (aparente) e \(I\), desafogando cabos e transformadores.
Por que a ANEEL multa se FP < 0.92?;FP baixo = muita corrente reativa sem produzir trabalho, ocupando capacidade da rede e gerando perdas \(I^2R\) nos cabos.
Potência Aparente Trifásica (\(S_{3\phi}\));\(S_{3\phi} = \sqrt{3} \times V_L \times I_L\) [VA]
Potência Ativa Trifásica (\(P_{3\phi}\));\(P_{3\phi} = \sqrt{3} \times V_L \times I_L \times \cos(\phi)\) [W]
Potência Reativa Trifásica (\(Q_{3\phi}\));\(Q_{3\phi} = \sqrt{3} \times V_L \times I_L \times \sin(\phi)\) [VAr]
Causa principal de FP baixo na indústria;Motores de indução — grandes cargas indutivas que consomem muita potência reativa (Q).
